kod_obce,nazev_obce,volici_v_seznamu,vydane_obalky,platne_hlasy
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,6,"7,79",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),8,"10,38",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",73,54,"73,97",54,53,"98,15"
1,Obèanská demokratická strana,2,"3,77",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,2,"3,77",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,4,"7,54",X
8,Komunistická str.Èech a Moravy,4,"7,54",X
9,Strana zelenıch,1,"1,88",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,1,"1,88",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,3,"5,66",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,1,"1,88",X
21,ANO 2011,29,"54,71",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,5,"9,43",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),1,"1,88",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",598,393,"65,72",393,393,"100,00"
1,Obèanská demokratická strana,50,"12,72",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,20,"5,08",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,53,"13,48",X
8,Komunistická str.Èech a Moravy,20,"5,08",X
9,Strana zelenıch,8,"2,03",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,6,"1,52",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,49,"12,46",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,25",X
20,TOP 09,11,"2,79",X
21,ANO 2011,127,"32,31",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,4,"1,01",X
24,Køes.demokr.unie-Ès.str.lid.,8,"2,03",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,25",X
27,SPORTOVCI,1,"0,25",X
28,Dìlnic.str.sociální spravedl.,4,"1,01",X
29,Svob.a pø.dem.-T.Okamura (SPD),30,"7,63",X
30,Strana Práv Obèanù,0,"0,00",-
10,10,"100,00",3490,2206,"63,21",2205,2200,"99,77"
1,Obèanská demokratická strana,204,"9,27",X
2,Øád národa - Vlastenecká unie,6,"0,27",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,2,"0,09",X
4,Èeská str.sociálnì demokrat.,187,"8,50",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,158,"7,18",X
8,Komunistická str.Èech a Moravy,136,"6,18",X
9,Strana zelenıch,25,"1,13",X
10,"ROZUMNÍ-stop migraci,diktát.EU",12,"0,54",X
12,Strana svobodnıch obèanù,11,"0,50",X
13,Blok proti islam.-Obran.domova,1,"0,04",X
14,Obèanská demokratická aliance,1,"0,04",X
15,Èeská pirátská strana,223,"10,13",X
17,Unie H.A.V.E.L.,3,"0,13",X
19,Referendum o Evropské unii,1,"0,04",X
20,TOP 09,96,"4,36",X
21,ANO 2011,826,"37,54",X
22,Dobrá volba 2016,1,"0,04",X
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,04",X
24,Køes.demokr.unie-Ès.str.lid.,72,"3,27",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,9,"0,40",X
27,SPORTOVCI,5,"0,22",X
28,Dìlnic.str.sociální spravedl.,4,"0,18",X
29,Svob.a pø.dem.-T.Okamura (SPD),211,"9,59",X
30,Strana Práv Obèanù,5,"0,22",X
1,1,"100,00",106,83,"78,30",83,83,"100,00"
1,Obèanská demokratická strana,3,"3,61",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,5,"6,02",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,4,"4,81",X
8,Komunistická str.Èech a Moravy,4,"4,81",X
9,Strana zelenıch,2,"2,40",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,1,"1,20",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,11,"13,25",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,2,"2,40",X
21,ANO 2011,35,"42,16",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,11,"13,25",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),5,"6,02",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",93,71,"76,34",71,71,"100,00"
1,Obèanská demokratická strana,7,"9,85",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,6,"8,45",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,8,"11,26",X
8,Komunistická str.Èech a Moravy,3,"4,22",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,2,"2,81",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,6,"8,45",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,8,"11,26",X
21,ANO 2011,15,"21,12",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,6,"8,45",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),10,"14,08",X
30,Strana Práv Obèanù,0,"0,00",-
6,6,"100,00",1140,750,"65,79",750,744,"99,20"
1,Obèanská demokratická strana,70,"9,40",X
2,Øád národa - Vlastenecká unie,1,"0,13",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,1,"0,13",X
4,Èeská str.sociálnì demokrat.,54,"7,25",X
6,Radostné Èesko,2,"0,26",X
7,STAROSTOVÉ A NEZÁVISLÍ,50,"6,72",X
8,Komunistická str.Èech a Moravy,75,"10,08",X
9,Strana zelenıch,5,"0,67",X
10,"ROZUMNÍ-stop migraci,diktát.EU",6,"0,80",X
12,Strana svobodnıch obèanù,15,"2,01",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,58,"7,79",X
17,Unie H.A.V.E.L.,1,"0,13",X
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,35,"4,70",X
21,ANO 2011,226,"30,37",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,3,"0,40",X
24,Køes.demokr.unie-Ès.str.lid.,81,"10,88",X
25,Èeská strana národnì sociální,1,"0,13",X
26,REALISTÉ,8,"1,07",X
27,SPORTOVCI,2,"0,26",X
28,Dìlnic.str.sociální spravedl.,2,"0,26",X
29,Svob.a pø.dem.-T.Okamura (SPD),44,"5,91",X
30,Strana Práv Obèanù,4,"0,53",X
2,2,"100,00",2195,1453,"66,20",1451,1443,"99,45"
1,Obèanská demokratická strana,200,"13,86",X
2,Øád národa - Vlastenecká unie,1,"0,06",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,97,"6,72",X
6,Radostné Èesko,1,"0,06",X
7,STAROSTOVÉ A NEZÁVISLÍ,126,"8,73",X
8,Komunistická str.Èech a Moravy,66,"4,57",X
9,Strana zelenıch,22,"1,52",X
10,"ROZUMNÍ-stop migraci,diktát.EU",11,"0,76",X
12,Strana svobodnıch obèanù,15,"1,03",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,06",X
15,Èeská pirátská strana,191,"13,23",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,06",X
20,TOP 09,107,"7,41",X
21,ANO 2011,424,"29,38",X
22,Dobrá volba 2016,1,"0,06",X
23,SPR-Republ.str.Èsl. M.Sládka,9,"0,62",X
24,Køes.demokr.unie-Ès.str.lid.,52,"3,60",X
25,Èeská strana národnì sociální,1,"0,06",X
26,REALISTÉ,12,"0,83",X
27,SPORTOVCI,3,"0,20",X
28,Dìlnic.str.sociální spravedl.,1,"0,06",X
29,Svob.a pø.dem.-T.Okamura (SPD),98,"6,79",X
30,Strana Práv Obèanù,3,"0,20",X
1,1,"100,00",258,187,"72,48",187,187,"100,00"
1,Obèanská demokratická strana,13,"6,95",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,5,"2,67",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,13,"6,95",X
8,Komunistická str.Èech a Moravy,15,"8,02",X
9,Strana zelenıch,3,"1,60",X
10,"ROZUMNÍ-stop migraci,diktát.EU",2,"1,06",X
12,Strana svobodnıch obèanù,3,"1,60",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,2,"1,06",X
15,Èeská pirátská strana,23,"12,29",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,3,"1,60",X
21,ANO 2011,53,"28,34",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,30,"16,04",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,4,"2,13",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),18,"9,62",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",129,82,"63,57",82,82,"100,00"
1,Obèanská demokratická strana,9,"10,97",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,3,"3,65",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,6,"7,31",X
8,Komunistická str.Èech a Moravy,3,"3,65",X
9,Strana zelenıch,1,"1,21",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,1,"1,21",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,6,"7,31",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,8,"9,75",X
21,ANO 2011,25,"30,48",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,3,"3,65",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),17,"20,73",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",539,403,"74,77",403,400,"99,26"
1,Obèanská demokratická strana,72,"18,00",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,20,"5,00",X
6,Radostné Èesko,1,"0,25",X
7,STAROSTOVÉ A NEZÁVISLÍ,43,"10,75",X
8,Komunistická str.Èech a Moravy,15,"3,75",X
9,Strana zelenıch,1,"0,25",X
10,"ROZUMNÍ-stop migraci,diktát.EU",2,"0,50",X
12,Strana svobodnıch obèanù,11,"2,75",X
13,Blok proti islam.-Obran.domova,2,"0,50",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,46,"11,50",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,39,"9,75",X
21,ANO 2011,91,"22,75",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,25",X
24,Køes.demokr.unie-Ès.str.lid.,11,"2,75",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,4,"1,00",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),38,"9,50",X
30,Strana Práv Obèanù,3,"0,75",X
1,1,"100,00",49,40,"81,63",40,40,"100,00"
1,Obèanská demokratická strana,0,"0,00",-
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,2,"5,00",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,0,"0,00",-
8,Komunistická str.Èech a Moravy,3,"7,50",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,3,"7,50",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,13,"32,50",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,11,"27,50",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),8,"20,00",X
30,Strana Práv Obèanù,0,"0,00",-
5,5,"100,00",1305,830,"63,60",830,816,"98,31"
1,Obèanská demokratická strana,52,"6,37",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,60,"7,35",X
6,Radostné Èesko,1,"0,12",X
7,STAROSTOVÉ A NEZÁVISLÍ,86,"10,53",X
8,Komunistická str.Èech a Moravy,78,"9,55",X
9,Strana zelenıch,3,"0,36",X
10,"ROZUMNÍ-stop migraci,diktát.EU",7,"0,85",X
12,Strana svobodnıch obèanù,14,"1,71",X
13,Blok proti islam.-Obran.domova,2,"0,24",X
14,Obèanská demokratická aliance,1,"0,12",X
15,Èeská pirátská strana,76,"9,31",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,12",X
20,TOP 09,39,"4,77",X
21,ANO 2011,256,"31,37",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,2,"0,24",X
24,Køes.demokr.unie-Ès.str.lid.,49,"6,00",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,4,"0,49",X
27,SPORTOVCI,3,"0,36",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),79,"9,68",X
30,Strana Práv Obèanù,3,"0,36",X
1,1,"100,00",727,445,"61,21",445,445,"100,00"
1,Obèanská demokratická strana,24,"5,39",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,45,"10,11",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,24,"5,39",X
8,Komunistická str.Èech a Moravy,66,"14,83",X
9,Strana zelenıch,8,"1,79",X
10,"ROZUMNÍ-stop migraci,diktát.EU",2,"0,44",X
12,Strana svobodnıch obèanù,9,"2,02",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,47,"10,56",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,22",X
20,TOP 09,9,"2,02",X
21,ANO 2011,150,"33,70",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,22",X
24,Køes.demokr.unie-Ès.str.lid.,30,"6,74",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,2,"0,44",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),26,"5,84",X
30,Strana Práv Obèanù,1,"0,22",X
1,1,"100,00",70,58,"82,86",58,57,"98,28"
1,Obèanská demokratická strana,8,"14,03",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,1,"1,75",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,2,"3,50",X
8,Komunistická str.Èech a Moravy,1,"1,75",X
9,Strana zelenıch,1,"1,75",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,1,"1,75",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,6,"10,52",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,3,"5,26",X
21,ANO 2011,18,"31,57",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"1,75",X
24,Køes.demokr.unie-Ès.str.lid.,5,"8,77",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"1,75",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),9,"15,78",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",55,38,"69,09",38,38,"100,00"
1,Obèanská demokratická strana,5,"13,15",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,6,"15,78",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,3,"7,89",X
8,Komunistická str.Èech a Moravy,3,"7,89",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,5,"13,15",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,1,"2,63",X
21,ANO 2011,10,"26,31",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,4,"10,52",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),1,"2,63",X
30,Strana Práv Obèanù,0,"0,00",-
3,3,"100,00",571,375,"65,67",374,374,"100,00"
1,Obèanská demokratická strana,27,"7,21",X
2,Øád národa - Vlastenecká unie,1,"0,26",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,22,"5,88",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,34,"9,09",X
8,Komunistická str.Èech a Moravy,39,"10,42",X
9,Strana zelenıch,4,"1,06",X
10,"ROZUMNÍ-stop migraci,diktát.EU",3,"0,80",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,25,"6,68",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,26",X
20,TOP 09,10,"2,67",X
21,ANO 2011,143,"38,23",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,14,"3,74",X
25,Èeská strana národnì sociální,1,"0,26",X
26,REALISTÉ,5,"1,33",X
27,SPORTOVCI,0,"0,00",-
